timestamp,x,y,z,w
31121974224,0.200012,0.147095,-0.756653,0.604858
31121999240,0.200867,0.14624,-0.755981,0.605652
31122019365,0.201843,0.145447,-0.755188,0.606445
31122035562,0.202942,0.144714,-0.754333,0.6073
31122056860,0.204041,0.144165,-0.753418,0.608215
31122080792,0.205322,0.143555,-0.752441,0.609131
31122095799,0.206604,0.142883,-0.751404,0.610168
31122133196,0.207947,0.142151,-0.750366,0.611145
31122139567,0.209106,0.141724,-0.74939,0.612061
31122185936,0.210327,0.141296,-0.748474,0.612793
31122186577,0.211975,0.140686,-0.74762,0.613464
31122225160,0.213562,0.140137,-0.746765,0.614014
31122229874,0.215088,0.139709,-0.745972,0.614624
31122236839,0.21637,0.139404,-0.745178,0.615173
31122270682,0.217529,0.139099,-0.744446,0.615784
31122284053,0.218689,0.138611,-0.743774,0.616272
31122316683,0.219849,0.138306,-0.743164,0.616638
31122328991,0.220825,0.137817,-0.742554,0.617126
31122381984,0.22168,0.137329,-0.742004,0.617554
31122382752,0.222351,0.136841,-0.741516,0.618042
31122383725,0.2229,0.136536,-0.741028,0.618469
31122414333,0.222961,0.136414,-0.740662,0.618958
31122419786,0.222839,0.136169,-0.740295,0.619507
31122456496,0.222717,0.135498,-0.740051,0.619934
31122458781,0.222534,0.134644,-0.739929,0.620361
31122476946,0.221924,0.133484,-0.740051,0.620667
31122508138,0.220947,0.131714,-0.740662,0.620667
31122517248,0.220093,0.129395,-0.741577,0.620361
31122539787,0.219604,0.126099,-0.743042,0.619507
31122562398,0.219177,0.122192,-0.745056,0.617981
31122584788,0.218933,0.118042,-0.747742,0.615662
31122596706,0.219055,0.113953,-0.751099,0.612244
31122619290,0.219666,0.109985,-0.755127,0.607788
31122641834,0.220886,0.10675,-0.759583,0.602356
31122656902,0.222595,0.10376,-0.764282,0.596252
31122679362,0.224731,0.101868,-0.769226,0.589355
31122697149,0.22699,0.101562,-0.774475,0.581665
31122716807,0.230103,0.102539,-0.779846,0.572998
31122739243,0.233887,0.104797,-0.785095,0.563843
31122757301,0.239014,0.107056,-0.789978,0.554382
31122784339,0.245728,0.108765,-0.794312,0.544861
31122816398,0.253845,0.110352,-0.797607,0.535889
31122818785,0.262268,0.113525,-0.799927,0.52771
31122853172,0.271057,0.118469,-0.801392,0.519897
31122859123,0.281067,0.124207,-0.802063,0.512146
31122889998,0.293579,0.129272,-0.801575,0.504578
31122898214,0.308411,0.133179,-0.799866,0.497375
31122919256,0.326233,0.136658,-0.796204,0.490906
31122937093,0.343506,0.144714,-0.791504,0.484375
31122958248,0.361755,0.154419,-0.784363,0.479675
31122979289,0.381226,0.164185,-0.774353,0.4776
31122997180,0.401001,0.175293,-0.76062,0.479431
31123018153,0.419922,0.188171,-0.742249,0.487122
31123046686,0.438232,0.200439,-0.718628,0.501404
31123057128,0.456116,0.211121,-0.688965,0.522278
31123079562,0.472595,0.220642,-0.652161,0.55011
31123106776,0.485474,0.228394,-0.609375,0.58374
31123124599,0.497681,0.231934,-0.558105,0.62207
31123138251,0.508179,0.232605,-0.4953,0.665039
31123159283,0.519043,0.227234,-0.422485,0.707397
31123177847,0.528137,0.214539,-0.339111,0.748352
31123198218,0.531799,0.196838,-0.246094,0.786011
31123219176,0.523438,0.174744,-0.144714,0.821289
31123244582,0.502136,0.144409,-0.0360718,0.851807
31123260153,0.470154,0.104431,0.0758667,0.873047
