timestamp,roll,pitch,yaw,AccX,AccY,AccZ,RelAccX,RelAccY,RelAccZ,GyroX,GyroY,GyroZ,QuarX,QuarY,QuarZ,QuarW
31122584788,0.10579,0.492419,-1.73736,-0.473145,0.097168,0.831055,-15.410647,1.30712911,26.375485,21.3125,-19,-14.6875,0.218933,0.118042,-0.747742,0.615662
31122596706,0.110082,0.487703,-1.74633,-0.462402,0.104492,0.834961,-15.873049,1.41162111,27.210446,23.625,-17.25,-21.4375,0.219055,0.113953,-0.751099,0.612244
31122619290,0.114267,0.484139,-1.7579,-0.452637,0.103027,0.817383,-16.325686,1.51464811,28.027829,26.9375,-14.3125,-28.125,0.219666,0.109985,-0.755127,0.607788
31122641834,0.11761,0.482693,-1.77167,-0.450195,0.0991211,0.811523,-16.775881,1.61376921,28.839352,27.625,-9.75,-34.25,0.220886,0.10675,-0.759583,0.602356
31122656902,0.120906,0.482489,-1.78673,-0.437988,0.128418,0.805664,-17.213869,1.74218721,29.645016,27.4375,-5.875,-38.875,0.222595,0.10376,-0.764282,0.596252
31122679362,0.122555,0.484551,-1.80365,-0.43457,0.144043,0.769531,-17.648439,1.88623021,30.414547,24.1875,-1.0625,-44.9375,0.224731,0.101868,-0.769226,0.589355
31122697149,0.121217,0.489004,-1.82296,-0.436523,0.153809,0.757324,-18.084962,2.04003921,31.171871,18.4375,5,-51.9375,0.22699,0.101562,-0.774475,0.581665
31122716807,0.118297,0.496554,-1.84416,-0.444336,0.155273,0.734863,-18.529298,2.19531221,31.906734,15.9375,12.5,-57.625,0.230103,0.102539,-0.779846,0.572998
31122739243,0.113709,0.506849,-1.86644,-0.455078,0.149414,0.724121,-18.984376,2.34472621,32.630855,13.25,19.625,-61.0625,0.233887,0.104797,-0.785095,0.563843
31122757301,0.110654,0.519367,-1.88833,-0.455566,0.166016,0.701172,-19.439942,2.51074221,33.332027,16.8125,26.625,-61,0.239014,0.107056,-0.789978,0.554382
31122784339,0.11057,0.533897,-1.90887,-0.463379,0.212891,0.674805,-19.903321,2.72363321,34.006832,20.9375,32.0625,-59.375,0.245728,0.108765,-0.794312,0.544861
31122816398,0.112926,0.550613,-1.92643,-0.455566,0.298828,0.622559,-20.358887,3.02246121,34.629391,18.9375,38.75,-56.25,0.253845,0.110352,-0.797607,0.535889
31122818785,0.113274,0.569733,-1.9421,-0.453125,0.366211,0.606934,-20.812012,3.38867221,35.236325,7.125,46.4375,-54.5,0.262268,0.113525,-0.799927,0.52771
31122853172,0.111014,0.591527,-1.95679,-0.45166,0.390137,0.587402,-21.263672,3.77880921,35.823727,-2.125,55.25,-54.25,0.271057,0.118469,-0.801392,0.519897
31122859123,0.108859,0.616387,-1.97039,-0.462891,0.413086,0.585449,-21.726563,4.19189521,36.409176,-4.3125,64.8125,-53.3125,0.281067,0.124207,-0.802063,0.512146
31122889998,0.111627,0.644886,-1.98066,-0.508301,0.456055,0.555176,-22.234864,4.64795021,36.964352,3.125,73.9375,-48.5625,0.293579,0.129272,-0.801575,0.504578
31122898214,0.120481,0.676226,-1.98659,-0.543945,0.520996,0.548828,-22.778809,5.16894621,37.51318,10.625,82.25,-42.5625,0.308411,0.133179,-0.799866,0.497375
31122919256,0.136104,0.712421,-1.98591,-0.579102,0.580078,0.518066,-23.357911,5.74902421,38.031246,16.375,96.5,-33.875,0.326233,0.136658,-0.796204,0.490906
31122937093,0.142612,0.753183,-1.98682,-0.650391,0.677246,0.427246,-24.008302,6.42627021,38.458492,12.625,112.5,-24.8125,0.343506,0.144714,-0.791504,0.484375
31122958248,0.150621,0.797535,-1.98033,-0.71875,0.709961,0.344238,-24.727052,7.13623121,38.80273,1.9375,123.375,-12.8125,0.361755,0.154419,-0.784363,0.479675
31122979289,0.166093,0.843892,-1.96159,-0.796387,0.79834,0.23291,-25.523439,7.93457121,39.03564,-3.875,130.875,6.625,0.381226,0.164185,-0.774353,0.4776
31122997180,0.188737,0.891636,-1.92623,-0.991699,0.966309,0.10498,-26.515138,8.90088021,39.14062,-22.3125,137.125,29.1875,0.401001,0.175293,-0.76062,0.479431
31123018153,0.221398,0.938542,-1.86737,-1.22559,1.0249,-0.0581055,-27.740728,9.92578021,39.0825145,-50.875,138.875,62.4375,0.419922,0.188171,-0.742249,0.487122
31123046686,0.275475,0.980641,-1.77561,-1.40967,1.02686,-0.163574,-29.150398,10.95264021,38.9189405,-70.875,137.938,106.125,0.438232,0.200439,-0.718628,0.501404
31123057128,0.358751,1.01413,-1.64369,-1.49219,1.11523,-0.210938,-30.642588,12.06787021,38.7080025,-89.3125,138.625,153.812,0.456116,0.211121,-0.688965,0.522278
31123079562,0.470989,1.03365,-1.46897,-1.60938,1.16602,-0.272949,-32.251968,13.23389021,38.4350535,-115.562,138.812,205.062,0.472595,0.220642,-0.652161,0.55011
31123106776,0.597015,1.03198,-1.26796,-2.10791,1.27002,-0.350098,-34.359878,14.50391021,38.0849555,-133.938,146.062,255.938,0.485474,0.228394,-0.609375,0.58374
31123124599,0.736919,1.00484,-1.04422,-2.41016,1.44141,-0.714844,-36.770038,15.94532021,37.3701115,-145.625,147.188,312.188,0.497681,0.231934,-0.558105,0.62207
31123138251,0.870717,0.948917,-0.811176,-2.52783,1.35303,-0.414062,-39.297868,17.29835021,36.9560495,-171.125,158.25,374.375,0.508179,0.232605,-0.4953,0.665039
31123159283,0.987451,0.863414,-0.590581,-3.03662,1.40869,-0.651367,-42.334488,18.70704021,36.3046825,-164.438,166.688,429.375,0.519043,0.227234,-0.422485,0.707397
31123177847,1.07349,0.746802,-0.39285,-3.25439,1.32812,-0.565918,-45.588878,20.03516021,35.7387645,-163.438,166.062,488.75,0.528137,0.214539,-0.339111,0.748352
31123198218,1.12096,0.607942,-0.217982,-3.43066,1.48096,-0.510742,-49.019538,21.51612021,35.2280225,-179.375,167.062,532.812,0.531799,0.196838,-0.246094,0.786011
31123219176,1.12073,0.45396,-0.0609802,-3.49023,1.41211,-0.411133,-52.509768,22.92823021,34.8168895,-229.688,158.875,567.5,0.523438,0.174744,-0.144714,0.821289
31123244582,1.07778,0.286132,0.0872268,-3.36523,1.25439,-0.234863,-55.874998,24.18262021,34.5820265,-277.438,135.562,610.438,0.502136,0.144409,-0.0360718,0.851807
31123260153,1.00101,0.111238,0.234239,-3.17139,1.10205,-0.0463867,-59.046388,25.28467021,34.5356398,-303.75,103.688,644.562,0.470154,0.104431,0.0758667,0.873047
31123279213,0.893337,-0.0634201,0.38709,-2.89014,0.944824,0.130859,-61.936528,26.22949421,34.6664988,-319.625,64.875,665.25,0.429199,0.0549927,0.186829,0.881897
31123304741,0.756751,-0.230995,0.555395,-2.59424,0.913086,0.3125,-64.530768,27.14258021,34.9789988,-320.5,25.875,679.75,0.382263,-0.00238037,0.294006,0.875977
31123319682,0.588236,-0.383825,0.74784,-2.29053,0.908691,0.276367,-66.821298,28.05127121,35.2553658,-315.438,-14.125,687.688,0.331604,-0.065979,0.394653,0.854309
31123339492,0.392252,-0.514843,0.973352,-2.0332,0.727539,0.34082,-68.854498,28.77881021,35.5961858,-279.188,-55.9375,693.75,0.283386,-0.132568,0.487488,0.815063
31123362637,0.173151,-0.613218,1.23439,-1.73438,0.691406,0.245605,-70.588878,29.47021621,35.8417908,-226.25,-93,688.625,0.241272,-0.19751,0.570984,0.759399
