timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
31122807818,0,-1,-2,10,18,46,6,4
31122807818,-3,-1,-4,-21,-7,7,-1,-2
31122817039,-3,3,-2,5,29,-2,13,-6
31122817039,0,-1,3,9,4,1,-8,6
31122817965,-2,-2,-3,2,-7,-34,-14,-5
31122817965,5,5,6,4,15,62,21,5
31122829822,-3,-2,-1,8,-5,-2,-21,1
31122829822,-3,2,2,2,23,32,31,0
31122845344,-1,-3,-5,-8,-9,7,-17,-1
31122845344,0,1,-3,-3,7,43,49,4
31122853867,-4,-1,2,-3,-23,-31,-46,-2
31122853867,-1,-7,-3,-5,-18,-50,35,0
31122854790,-3,-1,-3,-9,-28,-3,-27,-5
31122854790,-1,0,-1,2,-31,-15,-21,-3
31122883739,-4,-5,-1,-4,21,49,14,-2
31122883739,7,8,1,4,-2,14,11,5
31122884261,2,-1,-1,-10,28,-8,7,3
31122884261,-7,-7,-4,0,-23,-38,-21,-8
31122890718,7,6,3,-15,-39,16,2,-2
31122890718,4,0,-6,-4,25,-53,-32,14
31122897365,-5,-2,1,14,-31,-47,18,-5
31122897365,-2,-1,2,-2,22,29,-3,8
31122912553,6,8,5,9,13,44,-8,11
31122912553,-11,-11,-1,2,49,31,-36,-20
31122913167,-4,-1,0,-7,-16,-64,-15,-9
31122913167,-5,-6,-4,-5,43,58,-9,-16
31122935712,6,3,3,17,-19,-34,60,14
31122935712,9,10,-3,-14,11,71,3,12
31122936280,-3,4,6,28,68,82,-39,-6
31122936280,-4,-5,-8,-39,-31,-27,-9,-1
31122949290,-6,-2,-1,3,25,-28,-22,-17
31122949290,-13,-5,-5,-16,-50,30,-31,0
31122957478,13,-11,-6,-14,0,2,39,8
31122957478,10,21,6,3,45,100,-13,-1
31122972365,-8,-6,3,20,16,-59,-10,1
31122972365,9,-7,-5,-1,-11,10,58,10
31122973267,10,5,-3,-3,7,15,-49,-2
31122973267,2,-10,-2,-4,-47,-73,19,5
31122995552,-9,-4,-7,-13,-56,-82,-13,-12
31122995552,-12,0,6,26,81,18,39,-3
31122996485,-7,1,-6,-34,-13,-62,42,9
31122996485,28,8,10,47,52,-28,4,6
31123010399,-2,11,8,-4,-2,71,-19,-5
31123010399,0,-7,-1,17,-19,-92,-16,-2
31123017340,-6,0,2,5,-27,50,-57,-3
31123017340,-22,-19,-5,-13,-45,-59,30,-4
31123032538,24,14,-1,2,59,71,-10,13
31123032538,6,7,3,-6,-11,6,-67,-10
31123033148,-13,-4,1,2,-19,-79,-36,-17
31123033148,1,-10,-2,25,-7,18,35,44
31123055509,-6,-8,-6,-31,-25,23,-45,-18
31123055509,-1,14,3,6,-23,-9,11,0
31123056274,-7,12,2,1,10,60,-5,-7
31123056274,17,5,-3,-11,-1,16,-34,-11
31123077976,-2,-24,-4,24,3,5,44,35
31123077976,23,-3,-3,-32,-45,-53,-23,4
31123078751,-11,-8,-7,-7,-18,4,16,-13
31123078751,5,-19,7,16,2,0,-40,-1
31123093986,-4,-24,2,9,-17,16,-8,-1
31123093986,-15,-11,2,-16,-10,-48,-41,-9
31123094751,4,5,-8,-12,12,20,-49,6
31123094751,-14,43,12,12,0,-33,16,-13
31123123091,-8,7,-8,-6,-23,-73,-26,-16
31123123091,-2,16,5,-10,-19,48,66,14
31123123949,0,-1,1,-9,-6,7,14,-2
31123123949,-14,11,-10,-15,4,0,-44,-6
31123129078,-8,11,1,12,-4,4,34,-6
31123129078,-1,-14,-9,-18,-45,-60,-45,-13
31123137365,-15,-45,-3,14,-19,-19,26,15
31123137365,8,-12,-4,1,-13,-17,-29,0
31123152351,-7,3,-9,-33,-9,-34,-35,-13
31123152351,-7,-10,-6,13,-8,5,-48,-1
31123153103,27,27,8,-1,-2,-15,40,17
31123153103,-24,-7,-1,-3,-3,12,13,-11
31123176215,2,34,64,31,0,-14,-47,-1
31123176215,19,-22,-47,8,-5,11,-31,-10
31123176936,-1,-57,-19,-55,0,-11,8,8
31123176936,-2,19,5,8,-2,-4,7,6
31123189336,-4,14,21,1,11,51,1,13
31123189336,-10,32,10,23,33,-11,11,-23
31123197393,8,20,23,17,7,25,27,11
31123197393,22,7,-16,1,-12,-6,-23,5
31123212337,1,-3,22,-3,1,-18,53,2
31123212337,-23,-42,-55,-18,-13,-15,-18,-17
31123213113,2,-45,-9,-16,9,55,7,1
31123213113,-18,19,4,-3,-7,-9,-44,-14
31123243066,6,6,-3,-9,9,25,1,2
31123243066,2,29,48,46,11,-1,-9,-7
31123244118,-15,-49,-52,-26,-17,-15,-14,-1
31123244118,-13,-19,6,-20,-10,-6,1,-6
31123258552,15,7,-20,-42,-4,13,52,7
31123258552,8,25,38,26,37,33,10,16
31123259312,-7,31,6,44,5,-12,-5,-7
31123259312,14,-19,-17,-34,-2,3,-10,-1
31123272928,-13,-11,18,6,3,12,-26,1
31123272928,-3,8,-28,-18,-11,4,29,4
31123273607,-4,-48,-15,4,-1,-7,-12,-4
31123273607,-12,-9,0,-39,1,12,-38,-10
31123303016,11,27,2,14,-4,-9,52,10
31123303016,-4,2,11,-5,7,0,28,5
31123303954,-4,50,8,2,7,9,28,2
31123303954,30,-14,10,48,10,13,-6,14
31123318079,-13,-23,-32,-18,-13,-11,-48,-17
31123318079,-3,2,33,-9,0,8,5,0
31123318797,6,4,-27,12,-6,0,0,2
31123318797,-20,-35,-4,-32,-5,1,14,-7
31123332297,7,4,-34,-7,1,-4,-20,-2
31123332297,3,5,24,21,-2,5,-12,4
31123333125,11,38,12,-2,18,9,26,5
31123333125,-6,-7,-5,6,10,-2,14,5
31123354328,-20,-43,-21,-19,-5,7,14,-14
31123354328,-3,9,10,20,-2,-9,-9,2
31123363215,6,23,15,3,2,14,-9,-1
31123363215,-1,4,-12,39,2,-2,-4,0
31123378110,-14,-49,-27,-31,3,-9,-15,-18
31123378110,-4,-1,-3,-24,-8,-5,58,7
31123379613,8,32,15,12,-4,4,-23,4
31123379613,2,11,8,20,4,-10,0,-1
31123400630,0,-7,-6,-2,-15,-5,17,-5
31123400630,-1,-1,-8,-1,13,-13,-12,7
31123402184,-11,-1,11,8,6,17,5,-2
31123402184,2,1,-7,-9,13,13,27,2
31123414179,-13,2,5,6,2,15,-9,-8
31123414179,-6,-16,-17,-24,-13,32,15,3
31123430764,-1,3,5,-11,-9,-13,15,-13
31123430764,-14,3,5,15,-10,0,-13,10
31123438332,13,5,-7,2,6,12,-26,6
31123438332,0,-24,-13,-24,-20,4,1,1
31123439647,-26,-12,0,1,26,2,-11,-16
31123439647,-23,11,1,-6,-20,27,9,-6
31123460709,9,5,1,22,9,-9,-17,14
31123460709,-4,-1,-10,-10,-4,-17,-1,-11
31123462089,5,-4,3,-16,-16,1,-4,-5
31123462089,6,3,3,0,-4,-17,-23,14
31123474161,6,11,3,13,11,-3,37,-13
31123474161,5,-11,-11,-25,-9,-5,-18,1
31123490671,-9,-16,-3,-5,-12,-17,-45,-3
31123490671,21,14,1,-6,5,18,28,-8
31123498074,2,0,3,8,-4,-12,20,7
31123498074,-3,7,9,19,-3,14,-21,-1
31123499708,9,4,-5,0,1,-3,7,2
31123499708,-10,-15,-10,-23,8,-20,-18,-15
31123521099,-2,3,7,-1,-8,0,4,4
31123521099,13,5,4,13,5,7,31,3
31123522651,-3,3,4,3,-4,-5,10,3
31123522651,-1,-6,-5,0,6,-8,-22,-5
31123543269,2,0,-5,-1,-1,3,3,7
31123543269,-5,0,1,-3,3,-14,-3,-6
31123544675,6,9,2,1,3,-8,-11,0
31123544675,-1,-3,-1,4,-4,0,22,6
31123565513,-4,-2,-2,-7,0,-6,-8,-4
31123565513,5,-3,-3,-9,-7,2,-5,-2
31123567243,3,3,-2,7,-1,-4,-3,0
31123567243,-2,-1,1,-2,-4,5,0,-1
31123580985,-1,1,-6,-1,-1,-3,-6,3
31123580985,3,-4,1,8,-4,-6,-41,-6
31123582637,1,-1,5,3,0,8,-4,3
31123582637,1,3,1,-6,-3,-17,32,3
31123594353,1,3,0,2,0,-3,2,0
31123594353,-8,-9,-4,4,-6,9,8,-2
31123626278,-1,1,3,-6,4,5,-6,5
31123626278,1,3,2,3,-11,-6,-17,-5
31123627001,-5,-6,-5,-11,-5,-1,4,-6
31123627001,6,5,-2,3,1,0,-2,3
31123628623,1,3,3,1,6,-3,9,2
31123628623,8,3,-3,-5,2,4,7,0
31123640721,1,-1,-2,-3,-3,2,10,-4
31123640721,-3,-4,-1,-5,4,-13,-18,-3
31123642190,0,-4,0,-4,-12,-4,6,-4
31123642190,-2,5,3,4,12,-3,1,-3
31123670785,2,-2,-5,0,-1,2,-16,5
31123670785,-4,-1,-1,-1,-2,0,2,-2
31123672211,0,2,-2,-2,-3,2,-18,-3
31123672211,-5,-4,0,-2,-13,-8,-6,-4
31123677652,-1,-2,-1,2,3,1,5,1
31123677652,-2,-2,-3,-5,8,5,7,0
31123708912,0,-1,0,1,0,-2,1,-2
