Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
83,-6.125,-2.3125,-23.4375,-0.0146484,0.0952148,0.983887,,,
84,-5.1875,-3.0625,-24.5,-0.00341797,0.0678711,0.982422,,,
85,-2.25,-2.875,-24.75,0.000976562,0.0620117,0.976074,,,
86,0.125,-3,-24.6875,-0.00292969,0.0688477,0.970215,,,
87,0.875,-4,-23.875,-0.00439453,0.078125,0.968262,,,
88,0.0625,-4.9375,-22.8125,-0.0131836,0.0844727,0.961914,,,
89,-1.6875,-5.25,-21.375,-0.00878906,0.0800781,0.948242,,,
90,-2.375,-5.25,-20.0625,-0.00292969,0.0727539,0.951172,,,
91,-1.8125,-4.9375,-18.75,0.00488281,0.0703125,0.949219,,,
92,-0.6875,-3.875,-17.5,0.00439453,0.0776367,0.947266,,,
93,-0.625,-2.6875,-16.6875,0.015625,0.078125,0.95459,,,
94,-1,-1.75,-16.5625,0.0205078,0.090332,0.953613,,,
95,-2.3125,-0.625,-16.4375,0.0200195,0.0898438,0.964844,,,
96,-2.9375,-0.3125,-16.125,0.0302734,0.0805664,0.973633,,,
97,-1.9375,-1.25,-14.9375,0.0463867,0.0732422,0.963379,,,
98,-0.125,-2.1875,-13.8125,0.0375977,0.065918,0.975098,,,
99,1,-3.875,-12.5,0.015625,0.065918,0.984863,,,
100,1.625,-5.6875,-10.8125,0.0078125,0.065918,1.00049,,,
101,9.75,-11.1875,-7,-0.0512695,0.0698242,1.02979,,,
102,14.1875,-10.5,-7.375,-0.050293,0.0673828,1.05664,,,
103,24.25,-9.5,-8.9375,-0.0751953,0.128906,1.06494,,,
104,25.375,-5.5625,-10.375,-0.103516,0.137695,1.07373,,,
105,27.75,-1.25,-11.6875,-0.116211,0.138672,1.08301,,,
106,31.6875,2.875,-13.9375,-0.14209,0.187988,1.08057,,,
107,27.5,6.375,-16.6875,-0.168945,0.240234,1.07129,,,
108,18.6875,5.5,-17.625,-0.185547,0.244629,1.04297,,,
109,9.625,1.75,-18.125,-0.188965,0.216797,1.00732,,,
110,5.6875,-2.8125,-17.9375,-0.20166,0.177734,0.967285,,,
111,3.625,-7.75,-16.25,-0.204102,0.166992,0.937988,,,
112,1.6875,-10.9375,-14.5625,-0.21875,0.16748,0.937012,,,
113,0.9375,-11.5625,-13.625,-0.219238,0.183594,0.927246,,,
114,1.1875,-11.1875,-13.625,-0.22998,0.226074,0.931641,,,
115,-0.0625,-9.125,-15.25,-0.228516,0.250977,0.928223,,,
116,-2.8125,-6.3125,-18.125,-0.205078,0.262695,0.933594,,,
117,-6.375,-3.8125,-20.75,-0.169922,0.244141,0.946289,,,
118,-7.625,-3.5625,-22.9375,-0.154297,0.207031,0.922363,,,
119,-9.5625,-4.625,-24.75,-0.133789,0.181641,0.92041,,,
120,-7.625,-5.625,-27.3125,-0.104004,0.15918,0.903809,,,
121,-5.125,-6.5,-29.3125,-0.0834961,0.134277,0.903809,,,
122,-0.75,-6.75,-31.375,-0.0708008,0.145996,0.926758,,,
123,3.125,-6.9375,-33.25,-0.0625,0.174316,0.925781,,,
124,2.5625,-7.25,-34.875,-0.059082,0.213379,0.929199,,,
125,-2.625,-7.0625,-37.5625,-0.0454102,0.220703,0.927734,,,
126,-7.6875,-6.6875,-40,-0.0307617,0.199219,0.931152,,,
127,-8.8125,-5.6875,-42,-0.0249023,0.178711,0.937988,,,
128,-7,-4.8125,-44.5625,-0.0244141,0.195312,0.9375,,,
129,-5.8125,-4.125,-47.1875,-0.0205078,0.208984,0.95459,,,
130,-3.5,-3.875,-49.1875,-0.00927734,0.215332,0.965332,,,
131,0.5,-4.1875,-51.625,0.00488281,0.205078,0.968262,,,
132,0.375,-6.25,-53.75,-0.0297852,0.253418,0.958008,,,
133,-4,-7.4375,-51.625,-0.0332031,0.234863,0.974609,,,
134,-3.4375,-6.9375,-49.8125,-0.043457,0.229004,0.976562,,,
135,0.75,-7.6875,-43.1875,-0.0620117,0.212891,1.02686,,,
136,7,-8.125,-42.5,-0.0512695,0.223145,1.02637,,,
137,7.8125,-9,-40.625,-0.0551758,0.21875,1.03027,,,
138,2.125,-1.8125,-26.3125,-0.000488281,0.193848,0.95166,,,
139,-9.0625,0.0625,-33.25,0.0244141,0.151367,0.937012,,,
140,-7.375,-0.5625,-33.875,0.0375977,0.105957,0.928711,,,
141,0.5,-0.5625,-32.6875,0.0341797,0.0957031,0.925781,,,
142,8.5625,-0.375,-31,0.0185547,0.108887,0.915039,,,
143,10.1875,-0.75,-27.8125,0.0131836,0.130859,0.910645,,,
144,6,-0.5,-24.3125,0.0131836,0.155762,0.90625,,,
145,-0.875,0.0625,-20.625,0.00683594,0.160645,0.923828,,,
146,-6.5625,1.3125,-16.9375,0.00683594,0.152832,0.933594,,,
147,-9.3125,2.5625,-13.5,0.00683594,0.134766,0.949219,,,
148,-9.5625,2.875,-10.875,0.0112305,0.139648,0.975586,,,
149,-9.375,2.5625,-8.5625,0.00976562,0.14502,0.976562,,,
150,-9.4375,0.875,-5.9375,-0.0205078,0.129395,0.983887,,,
151,-8.0625,-1.4375,-3,-0.0444336,0.0922852,0.996094,,,
152,-2.375,-2.625,0.25,-0.0673828,0.0576172,1.01465,,,
153,7.625,-5.125,3.3125,-0.0639648,0.0444336,1.01318,,,
154,9.875,-1.5,1.1875,-0.0654297,0.161621,1.10156,,,
155,16.375,1.3125,0.8125,-0.0869141,0.132812,1.09912,,,
156,22.75,4.3125,-0.375,-0.0766602,0.180176,1.09717,,,
157,24.75,8.75,-3.3125,-0.108398,0.240234,1.09668,,,
158,21.875,12.375,-4.3125,-0.144043,0.285645,1.11035,,,
159,14.875,9.625,-3.4375,-0.165527,0.306641,1.06445,,,
160,-15.5,-5.125,1,-0.155273,0.237793,0.913574,,,
161,-24,-10.375,3.5,-0.203613,0.177734,0.879883,,,
162,-24.25,-12.9375,6.5625,-0.250488,0.145996,0.865723,,,
163,-16.75,-13,9.1875,-0.250977,0.15332,0.876465,,,
164,-7.9375,-10.125,11.125,-0.236816,0.195801,0.897461,,,
165,0.625,-6.3125,10.3125,-0.21875,0.233398,0.901855,,,
166,4.0625,-4,9,-0.174805,0.245605,0.893066,,,
167,2.6875,-1.625,7.75,-0.117188,0.252441,0.88623,,,
168,-4.9375,1.375,5.3125,-0.0820312,0.259277,0.878418,,,
169,-15.0625,3.375,1.1875,-0.0693359,0.223145,0.875977,,,
170,-19.875,3.875,-2.8125,-0.0649414,0.181641,0.884277,,,
171,-15.3125,3.75,-5.5625,-0.046875,0.140137,0.901367,,,
