Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
81,-37.75,-1.125,-46.1875,-0.070302551,0.057248469,0.059390918,,,
82,6.8125,-13.875,-28.5,-0.063526429,0.046984592,0.078374082,,,
83,50.5,-21.3125,-30.5,-0.052863878,0.057995816,0.076879388,,,
84,65.75,-30,-33.375,-0.055056224,0.078224694,0.069405714,,,
85,48.625,-44.625,-40.0625,-0.055753776,0.085200102,0.068110204,,,
86,5.875,-60.9375,-42.625,-0.05809551,0.071249184,0.069206429,,,
87,-4.3125,-66.75,-38.25,-0.054856939,0.04942602,0.069056939,,,
88,16.875,-65.4375,-29.0625,-0.052515102,0.046037959,0.065569184,,,
89,24.6875,-68.8125,-24.8125,-0.052565,0.037767041,0.060088469,,,
90,33.5,-72.5,-24.25,-0.048877959,0.032286327,0.056052653,,,
91,32.3125,-60.5625,-18.5,-0.048030918,0.037517959,0.057148878,,,
92,35.625,-46.375,-20.125,-0.050970612,0.04658602,0.067612041,,,
93,32.0625,-30.8125,-17.3125,-0.054607755,0.057647041,0.074039388,,,
94,20.375,-16.4375,-20.3125,-0.057198673,0.057049184,0.062679388,,,
95,20.625,4.9375,-27.25,-0.06407449,0.044642857,0.06990398,,,
96,35.625,22.1875,-28.1875,-0.067213367,0.046685714,0.063277245,,,
97,23.25,32.9375,-14.0625,-0.069106735,0.039062449,0.071847143,,,
98,21.5625,48.875,-2.75,-0.06706398,0.015844184,0.073840102,,,
99,19.9375,78.0625,41.4375,-0.048828163,0.041155102,0.06646602,,,
100,8.4375,96.9375,84.25,-0.034628061,0.076630306,0.056451327,,,
101,-58.875,99.6875,65,-0.033980408,0.061284286,0.050821122,,,
102,-90.3125,130.312,85.5,-0.032136837,0.086096939,0.03422949,,,
103,-141.625,141.25,102.812,-0.039112347,0.076580408,0.050522143,,,
104,-154.75,120.938,85.6875,-0.056600816,0.057397959,0.070651327,,,
105,-147.812,91.375,88.9375,-0.051967041,0.04957551,0.068010612,,,
106,-114.938,98.0625,96.5625,-0.027204286,0.050771327,0.070153061,,,
107,-72.1875,102.375,60.8125,-0.035475102,0.078673061,0.07259449,,,
108,-70.375,108.75,43.1875,-0.057198673,0.107571429,0.059241429,,,
109,-88.25,104.25,44.8125,-0.067612041,0.110909184,0.058942551,,,
110,-100.812,95.5625,40.625,-0.059789592,0.110062245,0.044543163,,,
111,-121.5,83.375,36.4375,-0.062679388,0.096360816,0.041653367,,,
112,-108.062,73.25,43.125,-0.057796531,0.083157245,0.041952347,,,
113,-100.438,61.5625,39.0625,-0.046436531,0.065220408,0.039062449,,,
114,-90.4375,57.1875,29.375,-0.035026735,0.057647041,0.049924286,,,
115,-87.375,63.5,32.75,-0.02969551,0.047433061,0.05709898,,,
116,-72.9375,72.25,33.8125,-0.047532653,0.047781837,0.052565,,,
117,-73.3125,68.25,34.4375,-0.064124286,0.061832347,0.061682857,,,
118,-87,46.4375,56.375,-0.063277245,0.062679388,0.066665306,,,
119,-84.875,22.625,61.625,-0.050322857,0.058842857,0.074039388,,,
120,-62.125,21.8125,73.125,-0.038713776,0.068359388,0.072893367,,,
121,-57.6875,22,76.1875,-0.041553776,0.083007857,0.075085714,,,
122,-76.25,12.6875,61.625,-0.045938265,0.087242857,0.074886429,,,
123,-91.5625,3.625,50.625,-0.053810612,0.083157245,0.074836531,,,
124,-84.75,-0.5625,47.375,-0.063227449,0.086296224,0.079719388,,,
125,-75.625,-5.125,49.8125,-0.069256224,0.091876633,0.084602245,,,
126,-75.5,-11.1875,52.5,-0.070750918,0.093520816,0.082260408,,,
